torque,error,status,nano,time
43.1,0.0,0.0,337172200.5,2022-12-17 00:03:50
41.25,0.0,0.0,337235381.0,2022-12-17 00:03:51
43.95,0.0,0.0,337379186.5,2022-12-17 00:03:52
42.05,0.0,0.0,337971157.5,2022-12-17 00:03:53
42.25,0.0,0.0,337486688.0,2022-12-17 00:03:54
43.4,0.0,0.0,337622661.5,2022-12-17 00:03:55
41.8,0.0,0.0,337026659.0,2022-12-17 00:03:56
42.6,0.0,0.0,337116793.0,2022-12-17 00:03:57
43.25,0.0,0.0,337069254.0,2022-12-17 00:03:58
41.400000000000006,0.0,0.0,337096683.5,2022-12-17 00:03:59
44.45,0.0,0.0,337133744.0,2022-12-17 00:04:00
41.8,0.0,0.0,337063357.5,2022-12-17 00:04:01
43.45,0.0,0.0,337190115.5,2022-12-17 00:04:02
44.3,0.0,0.0,339534856.5,2022-12-17 00:04:03
40.5,0.0,0.0,337339514.5,2022-12-17 00:04:04
44.9,0.0,0.0,337414534.0,2022-12-17 00:04:05
41.35,0.0,0.0,337485774.0,2022-12-17 00:04:06
43.15,0.0,0.0,338609449.0,2022-12-17 00:04:07
44.8,0.0,0.0,337606999.5,2022-12-17 00:04:08
41.55,0.0,0.0,337890982.5,2022-12-17 00:04:09
45.9,0.0,0.0,337150074.5,2022-12-17 00:04:10
42.8,0.0,0.0,337143474.0,2022-12-17 00:04:11
44.0,0.0,0.0,337168504.0,2022-12-17 00:04:12
45.7,0.0,0.0,337261798.5,2022-12-17 00:04:13
42.85,0.0,0.0,337167465.5,2022-12-17 00:04:14
45.45,0.0,0.0,337182972.0,2022-12-17 00:04:15
43.65,0.0,0.0,337234588.0,2022-12-17 00:04:16
43.55,0.0,0.0,337370598.0,2022-12-17 00:04:17
44.75,0.0,0.0,337420267.0,2022-12-17 00:04:18
43.2,0.0,0.0,337534436.5,2022-12-17 00:04:19
44.5,0.0,0.0,587671643.0,2022-12-17 00:04:20
44.3,0.0,0.0,338110951.5,2022-12-17 00:04:21
42.3,0.0,0.0,337720771.5,2022-12-17 00:04:22
44.75,0.0,0.0,337548105.5,2022-12-17 00:04:23
42.4,0.0,0.0,337249593.0,2022-12-17 00:04:24
42.75,0.0,0.0,337243762.0,2022-12-17 00:04:25
44.2,0.0,0.0,337278908.0,2022-12-17 00:04:26
40.45,0.0,0.0,337285458.0,2022-12-17 00:04:27
44.25,0.0,0.0,337248120.5,2022-12-17 00:04:28
42.25,0.0,0.0,337305592.0,2022-12-17 00:04:29
42.3,0.0,0.0,337386766.5,2022-12-17 00:04:30
45.05,0.0,0.0,337434973.5,2022-12-17 00:04:31
41.6,0.0,0.0,337444241.0,2022-12-17 00:04:32
44.7,0.0,0.0,337591031.5,2022-12-17 00:04:33
42.85,0.0,0.0,338196398.0,2022-12-17 00:04:34
42.5,0.0,0.0,338711132.5,2022-12-17 00:04:35
44.55,0.0,0.0,337779084.5,2022-12-17 00:04:36
41.45,0.0,0.0,337768713.5,2022-12-17 00:04:37
43.1,0.0,0.0,337361041.5,2022-12-17 00:04:38
43.25,0.0,0.0,338500002.0,2022-12-17 00:04:39
42.1,0.0,0.0,337288989.0,2022-12-17 00:04:40
44.55,0.0,0.0,337494439.0,2022-12-17 00:04:41
43.15,0.0,0.0,337327108.0,2022-12-17 00:04:42
42.8,0.0,0.0,337388155.5,2022-12-17 00:04:43
44.05,0.0,0.0,337554974.0,2022-12-17 00:04:44
41.95,0.0,0.0,337471680.0,2022-12-17 00:04:45
45.25,0.0,0.0,337586834.5,2022-12-17 00:04:46
44.85,0.0,0.0,337711562.5,2022-12-17 00:04:47
43.2,0.0,0.0,337724774.0,2022-12-17 00:04:48
45.85,0.0,0.0,338280203.0,2022-12-17 00:04:49
42.25,0.0,0.0,337908117.5,2022-12-17 00:04:50
